Time,V1,V2,V3,V4,V10,V12,V14,Amount,Class
0,-1.3598071336738,-0.0727811733098497,2.53634673796914,1.37815522427443,0.0907941719789316,-0.617800855762348,-0.311169353699879,149.62,0
1,1.19185711131486,0.26615071205963,0.16648011335321,0.448154078460911,-0.166974414004614,1.06523531137287,-0.143772296441519,2.69,0
2,-1.35835406159823,-1.34016307473609,1.77320934263119,0.379779593034328,0.207642865216696,0.066083685268831,-0.165945922763554,378.66,0
3,-0.966271711572087,-0.185226008082898,1.79299333957872,-0.863291275036453,-0.0549519224713749,0.178228225877303,-0.28792374549456,123.5,0
4,-1.15823309349523,0.877736754848451,1.548717846511,0.403033933955121,0.753074431976354,0.53819555014995,-1.11966983471731,69.99,0
5,-0.425965884412454,0.960523044882985,1.14110934232219,-0.168252079760302,-0.371407196834471,0.359893837038039,-0.137133700217612,3.67,0
6,1.22965763450793,0.141003507049326,0.0453707735899449,1.20261273673594,-0.0992543211289237,-0.153825826253651,0.16737196252175,4.99,0
7,-0.644269442348146,1.41796354547385,1.0743803763556,-0.492199018495015,1.24937617815176,0.291474353088705,-1.32386521970526,40.8,0
8,-0.89428608220282,0.286157196276544,-0.113192212729871,-0.271526130088604,-0.410430432848439,-0.110452261733098,0.0743553603016731,93.2,0
9,-0.33826175242575,1.11959337641566,1.04436655157316,-0.222187276738296,-0.366845639206541,0.836389570307029,-0.443522816876142,3.68,0
10,1.44904378114715,-1.17633882535966,0.913859832832795,-1.37566665499943,1.62665905834133,-0.671439778462005,-0.0950450453999549,7.8,0
11,0.38497821518095,0.616109459176472,-0.874299702595052,-0.0940186259679115,0.30975539423728,-0.326143233995877,0.362832368569793,9.99,0
12,1.249998742053,-1.22163680921816,0.383930151282291,-1.23489868766892,1.32372927445937,-0.242681998944186,-0.317630527025074,121.5,0
13,1.0693735878819,0.287722129331455,0.828612726634281,2.71252042961718,0.460230444301678,0.32338724546722,-0.178485175177916,27.5,0
14,-2.7918547659339,-0.327770756658658,1.64175016056605,1.76747274389883,1.1510869876677,0.7929439518176,-0.734975105820311,58.8,0
15,-0.752417042956605,0.345485415344747,2.05732291276727,-1.46864329840046,0.747730827192802,-0.770406728847129,-1.06660368148653,15.99,0
16,1.10321543528383,-0.0402962145973447,1.2673320885949,1.28909146962552,-0.267975066537173,0.936707714991982,-0.468647287707221,12.99,0
17,-0.436905071360625,0.918966212909322,0.92459077438817,-0.727219053596792,-0.737979823596458,0.277192107214981,-0.291896460370468,0.89,0
18,-5.40125766315825,-5.45014783420644,1.18630463143652,1.73623880012095,0.345172827050629,0.970116716069048,-0.479129929276704,46.8,0
19,1.4929359769862,-1.02934573189487,0.45479473374366,-1.43802587991702,1.63807603690446,-0.63204651464934,0.0520105153724404,5.0,0
20,0.694884775607337,-1.36181910308009,1.02922103956032,0.834159299216716,0.568520735086962,1.29832870056251,-0.372650997239682,231.71,0
21,0.962496069914852,0.32846102605212,-0.17147905415064,2.10920406774016,0.724396314588903,0.406773575635315,0.98373941913199,34.09,0
22,-2.3122265423263,1.95199201064158,-1.60985073229769,3.9979055875468,-2.77227214465915,-2.89990738849473,-4.28925378244217,0.0,1
23,1.16661638244228,0.502120087854101,-0.0673003143663533,2.26156923949128,0.922174967079328,-0.531377250104474,1.12687010488156,2.28,0
